date,open,high,low,close,vol,amount
2024-09-30,3846.65,4038.7,3796.5,4017.85,5102177.0,862528798720.0
2024-10-08,4450.37,4450.37,4094.35,4256.1,5898679.0,1130387472384.0
2024-10-09,4168.84,4197.6,3942.51,3955.98,4822693.0,1029032050688.0
2024-10-10,3979.61,4098.5,3912.77,3997.79,3950531.0,717952188416.0
2024-10-11,3969.76,3978.24,3847.12,3887.17,2740965.0,484998283264.0
2024-10-14,3915.22,3979.54,3868.78,3961.34,3075790.0,534076588032.0
2024-10-15,3942.53,3967.87,3855.99,3855.99,2424864.0,434410913792.0
2024-10-16,3806.14,3877.75,3805.09,3831.59,2188664.0,377301336064.0
2024-10-17,3853.84,3882.07,3787.75,3788.22,2123138.0,369170513920.0
2024-10-18,3780.31,3998.21,3765.16,3925.23,3129588.0,620673695744.0
2024-10-21,3946.9,3979.26,3896.17,3935.2,2911856.0,600109613056.0
2024-10-22,3923.74,3965.91,3917.52,3957.78,2234334.0,442881835008.0
2024-10-23,3955.32,4012.18,3939.1,3973.21,2458739.0,469120811008.0
2024-10-24,3950.9,3957.98,3914.09,3928.83,1747240.0,340486881280.0
2024-10-25,3931.32,3992.89,3921.94,3956.42,2106948.0,412231368704.0
2024-10-28,3953.11,3964.16,3917.2,3964.16,2161604.0,390450184192.0
2024-10-29,3970.01,3991.31,3921.58,3924.65,2172939.0,429625016320.0
2024-10-30,3904.16,3926.06,3864.31,3889.45,2194366.0,385010597888.0
2024-10-31,3888.42,3923.9,3859.11,3891.04,3006367.0,515533832192.0
2024-11-01,3882.46,3933.22,3879.96,3890.02,3079865.0,476472967168.0
2024-11-04,3897.71,3944.76,3891.21,3944.76,2292390.0,381048619008.0
2024-11-05,3937.62,4046.7,3925.41,4044.57,3168627.0,580971855872.0
2024-11-06,4051.29,4091.7,4002.5,4024.28,3358079.0,639124111360.0
2024-11-07,3987.27,4146.15,3984.67,4145.7,3414364.0,658145935360.0
2024-11-08,4192.08,4200.91,4094.16,4104.05,3323504.0,688446570496.0
2024-11-11,4066.93,4132.51,4048.04,4131.13,2895942.0,625605935104.0
2024-11-12,4133.35,4181.71,4060.79,4085.74,2977780.0,660380516352.0
2024-11-13,4059.59,4121.07,4059.59,4110.89,2404841.0,512734298112.0
2024-11-14,4101.22,4118.17,4034.94,4039.62,2301527.0,464157573120.0
2024-11-15,4025.65,4049.07,3968.83,3968.83,2473994.0,474079690752.0
2024-11-18,3982.1,4034.06,3931.19,3950.38,3067779.0,472408064000.0
2024-11-19,3954.6,3979.15,3896.75,3976.89,2429464.0,402610978816.0
2024-11-20,3966.12,4001.08,3958.34,3985.77,1845993.0,347577679872.0
2024-11-21,3979.46,3999.57,3966.07,3989.3,1661259.0,324235001856.0
2024-11-22,3984.24,3990.26,3865.7,3865.7,2162858.0,397566836736.0
2024-11-25,3875.61,3889.71,3812.32,3848.09,1907029.0,349006757888.0
2024-11-26,3836.26,3875.23,3833.28,3840.18,1498924.0,264403255296.0
2024-11-27,3829.34,3907.16,3817.91,3907.04,1741361.0,320632356864.0
2024-11-28,3904.25,3908.39,3866.01,3872.55,1501173.0,286432886784.0
2024-11-29,3869.89,3962.7,3869.89,3916.58,1876567.0,375262019584.0
2024-12-02,3909.7,3955.13,3902.17,3947.63,1972897.0,368591241216.0
2024-12-03,3946.7,3963.95,3922.84,3951.89,1824968.0,327295041536.0
2024-12-04,3948.13,3957.37,3917.75,3930.56,1746263.0,312040423424.0
2024-12-05,3916.56,3936.34,3910.08,3921.59,1385340.0,257716305920.0
2024-12-06,3923.9,3995.12,3923.9,3973.14,1920579.0,351751733248.0
2024-12-09,3970.66,3995.51,3948.42,3966.57,1759599.0,308227211264.0
2024-12-10,4094.05,4098.38,3988.97,3995.64,2534638.0,487278051328.0
2024-12-11,3988.02,4005.33,3977.35,3988.83,1772528.0,310713319424.0
2024-12-12,3987.15,4031.74,3981.35,4028.5,1816217.0,333667532800.0
2024-12-13,4000.99,4000.99,3931.74,3933.18,2303530.0,421478596608.0
2024-12-16,3930.78,3938.76,3901.65,3911.84,1785112.0,327619084288.0
2024-12-17,3908.13,3955.95,3908.13,3922.03,1609390.0,306037358592.0
2024-12-18,3934.54,3956.14,3933.97,3941.89,1577383.0,276825374720.0
2024-12-19,3911.89,3954.35,3899.75,3945.46,1610810.0,321771601920.0
2024-12-20,3937.47,3958.63,3923.26,3927.74,1549865.0,332143263744.0
2024-12-23,3928.15,3965.85,3928.15,3933.57,1900673.0,354063417344.0
2024-12-24,3934.94,3985.86,3934.73,3983.69,1614945.0,310384885760.0
2024-12-25,3987.96,4007.76,3969.48,3985.63,1593907.0,299295145984.0
2024-12-26,3981.73,3991.53,3965.55,3987.48,1434252.0,305769938944.0
